26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
246.65625,129.25,,,,,,,,,,,,,,,,,
248.0625,129.25,,,,,,,,,,,,,,,,,
249.453125,129.25,,,,,,,,,,,,,,,,,
250.78125,130.25,,,,,,,,,,,,,,,,,
252.171875,130.25,,,,,,,,,,,,,,,,,
250.40625,195.25,,,,,,,,,,,,,,,,,
254.90625,131.25,,,,,,,,,,,,,,,,,
256.234375,132.25,,,,,,,,,,,,,,,,,
257.5625,133.25,,,,,,,,,,,,,,,,,
258.96875,133.25,,,,,,,,,,,,,,,,,
260.28125,134.25,,,,,,,,,,,,,,,,,
258.671875,199.25,,,,,,,,,,,,,,,,,
262.9375,136.25,,,,,,,,,,,,,,,,,
264.28125,137.25,,,,,,,,,,,,,,,,,
265.546875,139.25,,,,,,,,,,,,,,,,,
266.890625,140.25,,,,,,,,,,,,,,,,,
268.171875,142.25,,,,,,,,,,,,,,,,,
326.234375,158.25,,,,,,,,,,,,,,,,,
327.5,158.25,,,,,,,,,,,,,,,,,
328.8125,157.25,,,,,,,,,,,,,,,,,
327.78125,221.25,,,,,,,,,,,,,,,,,
331.359375,157.25,,,,,,,,,,,,,,,,,
332.625,157.25,,,,,,,,,,,,,,,,,
333.890625,157.25,,,,,,,,,,,,,,,,,
335.171875,157.25,,,,,,,,,,,,,,,,,
336.4375,157.25,,,,,,,,,,,,,,,,,
335.40625,221.25,,,,,,,,,,,,,,,,,
338.984375,157.25,,,,,,,,,,,,,,,,,
340.25,157.25,,,,,,,,,,,,,,,,,
341.46875,158.25,,,,,,,,,,,,,,,,,
342.75,158.25,,,,,,,,,,,,,,,,,
343.96875,159.25,,,,,,,,,,,,,,,,,
342.984375,223.25,,,,,,,,,,,,,,,,,
346.46875,160.25,,,,,,,,,,,,,,,,,
347.84375,161.25,,,,,,,,,,,,,,,,,
213.3125,148.25,,,,,,,,,,,,,,,,,
214.8125,146.25,,,,,,,,,,,,,,,,,
216.328125,144.25,,,,,,,,,,,,,,,,,
217.859375,142.25,,,,,,,,,,,,,,,,,
219.375,140.25,,,,,,,,,,,,,,,,,
220.84375,139.25,,,,,,,,,,,,,,,,,
222.359375,137.25,,,,,,,,,,,,,,,,,
