#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
225.0000000000,137.2500000000
226.4375000000,136.2500000000
227.9687500000,134.2500000000
229.4218750000,133.2500000000
230.8750000000,132.2500000000
232.2500000000,132.2500000000
233.7031250000,131.2500000000
235.1562500000,130.2500000000
236.6093750000,129.2500000000
237.9843750000,129.2500000000
239.3750000000,129.2500000000
240.8281250000,128.2500000000
242.2031250000,128.2500000000
243.5937500000,128.2500000000
244.9687500000,128.2500000000
246.3437500000,128.2500000000
247.7343750000,128.2500000000
249.1093750000,128.2500000000
250.5000000000,128.2500000000
251.8750000000,128.2500000000
253.1718750000,129.2500000000
254.5625000000,129.2500000000
255.8593750000,130.2500000000
257.2343750000,130.2500000000
258.5625000000,131.2500000000
259.9375000000,131.2500000000
261.2343750000,132.2500000000
262.5625000000,133.2500000000
263.8593750000,134.2500000000
265.1875000000,135.2500000000
348.3906250000,150.2500000000
154.6406250000,154.2500000000
156.0156250000,154.2500000000
157.3906250000,154.2500000000
158.8125000000,153.2500000000
160.1875000000,153.2500000000
161.5156250000,154.2500000000
163.3750000000,145.5000000000
165.8125000000,129.5000000000
167.2812500000,128.2500000000
168.8125000000,126.2500000000
170.2656250000,125.2500000000
171.9062500000,122.0000000000
173.2656250000,122.2500000000
174.7968750000,120.2500000000
176.2656250000,119.2500000000
177.7343750000,118.2500000000
179.1875000000,117.2500000000
180.5625000000,117.2500000000
182.2187500000,114.2500000000
183.5937500000,114.2500000000
184.9687500000,114.2500000000
186.4375000000,113.2500000000
187.8125000000,113.2500000000
189.3125000000,112.0000000000
190.6718750000,112.2500000000
192.0468750000,112.2500000000
193.4218750000,112.2500000000
194.7968750000,112.2500000000
196.1718750000,112.2500000000
197.5468750000,112.2500000000
198.9218750000,112.2500000000
200.2968750000,112.2500000000
201.6718750000,112.2500000000
203.0468750000,112.2500000000
204.4218750000,112.2500000000
205.6875000000,113.2500000000
206.9687500000,114.2500000000
208.2500000000,115.2500000000
209.7187500000,114.2500000000
211.0156250000,115.2500000000
155.7812500000,154.2500000000
157.1562500000,154.2500000000
158.5781250000,153.2500000000
159.9531250000,153.2500000000
161.2812500000,154.2500000000
163.0468750000,147.2500000000
165.5000000000,130.5000000000
167.0468750000,128.2500000000
168.5000000000,127.2500000000
170.0312500000,125.2500000000
171.5625000000,123.2500000000
173.1093750000,121.2500000000
174.4843750000,121.2500000000
176.0312500000,119.2500000000
177.5000000000,118.2500000000
178.9531250000,117.2500000000
180.3281250000,117.2500000000
181.9843750000,114.2500000000
183.3593750000,114.2500000000
184.7343750000,114.2500000000
186.2031250000,113.2500000000
187.5781250000,113.2500000000
189.0625000000,112.2500000000
190.4375000000,112.2500000000
191.8125000000,112.2500000000
193.1875000000,112.2500000000
194.5625000000,112.2500000000
195.9375000000,112.2500000000
197.3125000000,112.2500000000
198.6875000000,112.2500000000
200.0625000000,112.2500000000
201.4531250000,112.0000000000
202.8125000000,112.2500000000
204.1875000000,112.2500000000
205.4531250000,113.2500000000
206.7343750000,114.2500000000
208.0156250000,115.2500000000
209.4218750000,115.0000000000
210.7656250000,115.2500000000
212.0625000000,116.2500000000
212.2031250000,116.2500000000
213.4062500000,118.2500000000
214.5937500000,120.2500000000
215.7656250000,123.0000000000
215.0312500000,0.0000000000
216.9375000000,145.5000000000
218.3437500000,145.2500000000
219.8437500000,143.2500000000
221.3437500000,141.2500000000
222.8593750000,139.2500000000
221.4531250000,202.2500000000
225.7968750000,136.2500000000
227.2656250000,135.2500000000
228.7031250000,134.2500000000
230.1718750000,133.2500000000
231.6093750000,132.2500000000
233.0625000000,131.2500000000
234.5156250000,130.2500000000
235.8906250000,130.2500000000
237.3437500000,129.2500000000
238.7343750000,129.2500000000
240.1875000000,128.2500000000
238.3437500000,192.2500000000
242.9531250000,128.2500000000
244.3281250000,128.2500000000
245.7031250000,128.2500000000
247.0937500000,128.2500000000
248.4687500000,128.2500000000
249.8593750000,128.2500000000
251.2343750000,128.2500000000
252.6093750000,128.2500000000
253.9218750000,129.2500000000
255.2968750000,129.2500000000
256.5937500000,130.2500000000
257.9843750000,130.2500000000
259.2968750000,131.2500000000
260.5937500000,132.2500000000
261.9843750000,132.2500000000
263.2968750000,133.2500000000
264.6093750000,134.2500000000
349.1093750000,151.2500000000
267.1406250000,136.2500000000
268.4531250000,137.2500000000
269.7031250000,139.2500000000
271.0156250000,140.2500000000
272.2656250000,142.2500000000
273.5781250000,143.2500000000
272.2187500000,209.2500000000
276.0937500000,147.2500000000
277.3437500000,149.2500000000
278.6093750000,151.2500000000
279.8750000000,153.2500000000
281.1562500000,155.2500000000
280.1406250000,221.2500000000
283.6718750000,160.2500000000
284.9375000000,162.2500000000
286.1875000000,165.2500000000
287.4218750000,168.2500000000
288.6718750000,171.2500000000
289.8750000000,175.2500000000
291.0937500000,179.2500000000
292.3437500000,182.2500000000
293.5468750000,187.2500000000
295.2031250000,179.5000000000
296.1718750000,190.5000000000
297.2187500000,200.5000000000
299.0312500000,187.5000000000
300.3750000000,188.2500000000
303.1562500000,0.0000000000
304.5312500000,0.0000000000
305.9062500000,0.0000000000
306.4531250000,173.5000000000
308.0937500000,167.2500000000
309.5937500000,164.2500000000
311.0625000000,162.2500000000
312.5468750000,160.2500000000
313.9687500000,159.2500000000
315.4375000000,157.2500000000
316.9062500000,155.2500000000
318.3281250000,154.2500000000
319.7656250000,153.2500000000
321.2187500000,152.2500000000
